uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,"ULA, Musculocutaneous nerve Left",,Misc,Left,"ULA, Left : Biceps brachii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Musculocutaneous nerve Right",,Misc,Right,"ULA, Right : Biceps brachii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Musculocutaneous nerve",,Misc,Musculocutaneous nerve,"ULA, Musculocutaneous nerve Left","ULA, Musculocutaneous nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Axillary nerve Left",,Misc,Left,"ULA, Left : Deltoid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Axillary nerve Right",,Misc,Right,"ULA, Right : Deltoid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Axillary nerve",,Misc,Axillary nerve,"ULA, Axillary nerve Left","ULA, Axillary nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Radial nerve Left",,Misc,Left,"ULA, Left : Tricep","ULA, Left : Supinator","ULA, Left : Ext. C. Rad. L&B","ULA, Left : Ext. C. Ulnaris","ULA, Left : Ext. Digiti","ULA, Left : Abd. Poll. Longus","ULA, Left : Ext. Poll. Longus","ULA, Left : Ext. Indicis","ULA, Left : Ext. Dig. Min.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Radial nerve Right",,Misc,Right,"ULA, Right : Tricep","ULA, Right : Supinator","ULA, Right : Ext. C. Rad. L&B","ULA, Right : Ext. C. Ulnaris","ULA, Right : Ext. Digiti","ULA, Right : Abd. Poll. Longus","ULA, Right : Ext. Poll. Longus","ULA, Right : Ext. Indicis","ULA, Right : Ext. Dig. Min.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Radial nerve",,Misc,Radial nerve,"ULA, Radial nerve Left","ULA, Radial nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Median nerve Left",,Misc,Left,"ULA, Left : Pronator","ULA, Left : Flex. Carpi Radialis","ULA, Left : Flex. Dig. Sup","ULA, Left : Flex. Dig Prof","ULA, Left : Opp. Pollicis","ULA, Left : Flex. Poll. L&B","ULA, Left : Abd. Poll. Brevis","ULA, Left : Lumbricalis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Median nerve Right",,Misc,Right,"ULA, Right : Pronator","ULA, Right : Flex. Carpi Radialis","ULA, Right : Flex. Dig. Sup","ULA, Right : Flex. Dig Prof","ULA, Right : Opp. Pollicis","ULA, Right : Flex. Poll. L&B","ULA, Right : Abd. Poll. Brevis","ULA, Right : Lumbricalis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Median nerve",,Misc,Median nerve,"ULA, Median nerve Left","ULA, Median nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Ulnar nerve Left",,Misc,Left,"ULA, Left : Flex. Carpi Uln","ULA, Left : Interossei","ULA, Left : Add. Poll.","ULA, Left : Opp/Abd/flex minimi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Ulnar nerve Right",,Misc,Right,"ULA, Right : Flex. Carpi Uln","ULA, Right : Interossei","ULA, Right : Add. Poll.","ULA, Right : Opp/Abd/flex minimi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Ulnar nerve",,Misc,Ulnar nerve,"ULA, Ulnar nerve Left","ULA, Ulnar nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Motor",,Misc,Motor,"ULA, Musculocutaneous nerve","ULA, Axillary nerve","ULA, Radial nerve","ULA, Median nerve","ULA, Ulnar nerve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Neurological exam of upper limb",,Misc,Neurological exam of upper  limb,"ULA, Sensation","ULA, Does the patient have a nerve injury?","ULA, Motor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Muscle Test for Upper Limbs Left",,Misc,Left,"ULA, Muscle Left : Shoulder flex.","ULA, Muscle Left : Shoulder Ext.","ULA, Muscle Left : Int. Rotation","ULA, Muscle Left : Ext. Rotation","ULA, Muscle Left : Abduction","ULA, Muscle Left : Adduction","ULA, Muscle Left : Elbow Flex. ","ULA, Muscle Left : Elbow Ext.","ULA, Muscle Left : Forearm Sup.","ULA, Muscle Left : Forearm Pron.","ULA, Muscle Left : Wrist Flex.","ULA, Muscle Left : Wrist Ext.","ULA, Muscle Left : Ulnar Dev.","ULA, Muscle Left : Radial Dev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Muscle Test for Upper Limbs Right",,Misc,Right,"ULA, Muscle Right : Shoulder flex.","ULA, Muscle Right : Shoulder Ext.","ULA, Muscle Right : Int. Rotation","ULA, Muscle Right : Ext. Rotation","ULA, Muscle Right : Abduction","ULA, Muscle Right : Adduction","ULA, Muscle Right : Elbow Flex.","ULA, Muscle Right : Elbow Ext. ","ULA, Muscle Right : Forearm Sup.","ULA, Muscle Right : Forearm Pron.","ULA, Muscle Right : Wrist Flex.","ULA, Muscle Right : Wrist Ext.","ULA, Muscle Right : Ulnar Dev.","ULA, Muscle Right : Radial Dev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Muscle Test for Upper Limbs",,Misc,Muscle Test for Upper Limbs,"ULA, Muscle Test for Upper Limbs Left","ULA, Muscle Test for Upper Limbs Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Pediatric Upper Extremity Function ( Fine Motor, ADL)",Mark one box per row; for each question you can choose the following answers from 4 - 0,Misc,"Pediatric Upper Extremity Function ( Fine Motor, ADL)","ULA, I was able to use my fingers to point to something","ULA, I was able to take off my socks","ULA, I was able to put on and fasten my pants by myself","ULA, I was able to button and unbutton my shirt","ULA, I was able to use a spoon to bring food up to my mouth","ULA, I was able to wipe myself thoroughly after using the toilet","ULA, I was able to pull my pants back after using the toilet","ULA, I was able to hold a plate full of food","ULA, I was able to cut a piece of paper in half with scissors","ULA, I was able to take a shower by myself (water coming from above, standing)","ULA, I was able to take a bath by myself (in the bathtub)","ULA, I was able to make a phone call with a smart phone","ULA, I was able to get out of bed by myself","ULA, I was able to put on my shoes by myself","ULA, I was able to open a jar by myself","ULA, I was able to put toothpaste on my toothbrush by myself (able to squeeze a tube)","ULA, I was able to brush my teeth by myself","ULA, I was able to dry my back with a towel","ULA, I was able to put on my clothes by myself","ULA, I was able to zip up my clothes","ULA, Total score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, (UEFI) Upper Extremity Functional Index",Mark one box per row; for each question you can choose the following answers from 0 - 4,Misc,Upper Extremity Functional Index (UEFI) - 15,"ULA, Any of your usual work, housework or school activities","ULA, Lifting a bag of groceries to waist level.","ULA, Placing an object onto or remove it from, an overhead shelf","ULA, Washing your hair or scalp","ULA, Pushing up on your hands (e.g. from bathtub or chair)","ULA, Preparing food (e.g. peeling, cutting)","ULA, Driving","ULA, Vacuuming, sweeping or raking","ULA, Doing up buttons (Note: Response numbering is correct!)","ULA, Using tools or appliances","ULA, Opening doors","ULA, Cleaning (any type)","ULA, Laundering clothes (e.g. washing, ironing, folding)","ULA, Opening a jar","ULA, Carrying a small suitcase with your affected limb","ULA, Total raw score","ULA, Final score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, hand and finger R.O.M Flex",,Misc,Flex,"ULA, R.O.M hand and finger Flex : Wrist","ULA, R.O.M hand and finger Flex : Thumb MC","ULA, R.O.M hand and finger Flex : Thumb DIP","ULA, R.O.M hand and finger Flex : 2nd Finger MC","ULA, R.O.M hand and finger Flex : 3rd Finger MC","ULA, R.O.M hand and finger Flex : 4th Finger MC","ULA, R.O.M hand and finger Flex : 5th Finger MC","ULA, R.O.M hand and finger Flex : 2nd Finger PIP","ULA, R.O.M hand and finger Flex : 3rd Finger PIP","ULA, R.O.M hand and finger Flex : 4th Finger PIP","ULA, R.O.M hand and finger Flex : 5th Finger PIP","ULA, R.O.M hand and finger Flex : 2nd Finger DIP","ULA, R.O.M hand and finger Flex : 3rd Finger DIP","ULA, R.O.M hand and finger Flex : 4th Finger DIP","ULA, R.O.M hand and finger Flex : 5th Finger DIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, hand and finger R.O.M Ext.",,Misc,Ext.,"ULA, R.O.M hand and finger Ext. : Wrist","ULA, R.O.M hand and finger Ext. : Thumb MC","ULA, R.O.M hand and finger Ext. : Thumb DIP","ULA, R.O.M hand and finger Ext. : 2nd Finger MC","ULA, R.O.M hand and finger Ext. : 3rd Finger MC","ULA, R.O.M hand and finger Ext. : 4th Finger MC","ULA, R.O.M hand and finger Ext. : 5th Finger MC","ULA, R.O.M hand and finger Ext : 2nd Finger PIP","ULA, R.O.M hand and finger Ext : 3rd Finger PIP","ULA, R.O.M hand and finger Ext : 4th Finger PIP","ULA, R.O.M hand and finger Ext : 5th Finger PIP","ULA, R.O.M hand and finger Ext. : 2nd Finger DIP","ULA, R.O.M hand and finger Ext. : 3rd Finger DIP","ULA, R.O.M hand and finger Ext. : 4th Finger DIP","ULA, R.O.M hand and finger Ext. : 5th Finger DIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, hand and finger R.O.M",,Misc,R.O.M hand and finger,"ULA, hand and finger R.O.M Flex","ULA, hand and finger R.O.M Ext.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Hand and Finger",,Misc,Hand and Finger,"ULA, R.O.M hand and finger Distance tip (2nd -5th)","ULA, R.O.M hand and finger Distance tip (Thumb - 2nd)","ULA, hand and finger R.O.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Followup Plan",,Misc,Follow-up Plan,"ULA, Referral suggested","ULA, Prosthetic and orthotic center","ULA, Physiotherapy center","ULA, Recommended physiotherapy treatment plan","ULA, Home exercises / Family training","ULA, Points to consider / Special concerns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Upper Limb Physiotherapy Assessment,,ConvSet,Upper Limb Physiotherapy Assessment,"ULA, Date recorded","ULA, Type of assessment","ULA, Previous history of physiotherapy","ULA, Details of previous physiotherapy","ULA, Chief complaint of patient","ULA, Problem List","ULA, Dominant side","ULA, Affected side","ULA, Independence of Patient","ULA, Does the patient use an assistive device or orthosis?","ULA, Type of assistive device or orthosis","ULA, Other type of assistive device","ULA, Comments about assistive device or orthosis","ULA, Amputee patient?","ULA, Level of amputation","ULA, Pain Assessment","ULA, Objective examination","ULA, R.O.M Test for Upper Limbs","ULA, Hand and Finger","ULA, Muscle Test for Upper Limbs","ULA, Neurological exam of upper limb","ULA, Basic Grip Test","ULA, How old is the patient","ULA, Pediatric Upper Extremity Function ( Fine Motor, ADL)","ULA, (UEFI) Upper Extremity Functional Index","ULA, Additional comments","ULA, Followup Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
